Inspection End Month,Recall Percentage
2008-10-01,16.593886462882097
2008-11-01,14.14141414141414
2008-12-01,10.266940451745379
2009-01-01,13.3428981348637
2009-02-01,19.554030874785592
2009-03-01,19.411764705882355
2009-04-01,17.647058823529413
2009-05-01,13.149847094801222
2009-06-01,14.299802761341224
2009-07-01,13.120899718837864
2009-08-01,11.349036402569594
2009-09-01,9.669211195928753
2009-10-01,14.246196403872752
2009-11-01,14.586070959264127
2009-12-01,13.653603034134006
2010-01-01,13.049095607235142
2010-02-01,12.934131736526947
2010-03-01,15.098241985522234
2010-04-01,12.190287413280476
2010-05-01,12.698412698412698
2010-06-01,9.962546816479401
2010-07-01,9.633911368015415
2010-08-01,11.859582542694497
2010-09-01,11.952861952861953
2010-10-01,10.2428722280887
2010-11-01,11.200000000000001
2010-12-01,8.017241379310343
2011-01-01,9.735449735449736
2011-02-01,11.20331950207469
2011-03-01,10.173697270471465
2011-04-01,13.096351730589337
2011-05-01,8.83838383838384
2011-06-01,9.011432414256893
2011-07-01,9.918032786885247
2011-08-01,10.44055522027761
2011-09-01,10.739102969046115
2011-10-01,9.704251386321626
2011-11-01,8.814589665653495
2011-12-01,9.796999117387466
2012-01-01,6.970260223048327
2012-02-01,8.664259927797833
2012-03-01,8.280254777070063
2012-04-01,8.596491228070176
2012-05-01,9.966499162479062
2012-06-01,7.289879931389365
2012-07-01,5.593056894889104
2012-08-01,8.600337268128163
2012-09-01,9.310653536257833
2012-10-01,9.1324200913242
2012-11-01,8.102345415778252
2012-12-01,6.844106463878327
2013-01-01,7.920792079207921
2013-02-01,7.4200913242009126
2013-03-01,6.283280085197019
2013-04-01,7.777777777777778
2013-05-01,7.823470411233702
2013-06-01,7.660020986358866
2013-07-01,5.992949471210341
2013-08-01,7.175925925925926
2013-09-01,6.724511930585683
2013-10-01,11.875
2013-11-01,10.098792535675083
2013-12-01,7.729468599033816
2014-01-01,9.610983981693364
2014-02-01,9.956236323851202
2014-03-01,7.8054298642533935
2014-04-01,9.410430839002268
2014-05-01,7.399577167019028
2014-06-01,9.360189573459715
2014-07-01,5.787037037037037
2014-08-01,7.814269535673839
2014-09-01,7.399794450154163
2014-10-01,10.9375
2014-11-01,9.173272933182334
2014-12-01,11.202185792349727
2015-01-01,7.783641160949868
2015-02-01,8.173076923076923
2015-03-01,7.219827586206897
2015-04-01,8.121212121212121
2015-05-01,9.785202863961814
2015-06-01,5.5762081784386615
2015-07-01,7.019328585961343
2015-08-01,6.884057971014493
2015-09-01,7.2784810126582276
2015-10-01,7.079646017699115
2015-11-01,6.847360912981455
2015-12-01,6.069364161849711
2016-01-01,5.046480743691899
2016-02-01,7.509386733416772
2016-03-01,8.47639484978541
2016-04-01,6.366630076838639
2016-05-01,6.86936936936937
2016-06-01,5.439330543933055
2016-07-01,8.024691358024691
2016-08-01,5.477031802120141
2016-09-01,6.913827655310621
2016-10-01,9.67741935483871
2016-11-01,9.053497942386832
2016-12-01,11.254396248534585
2017-01-01,9.470124013528748
2017-02-01,10.974106041923552
2017-03-01,9.900990099009901
2017-04-01,10.640495867768596
2017-05-01,11.538461538461538
2017-06-01,7.142857142857142
2017-07-01,8.719646799116997
2017-08-01,7.602339181286549
2017-09-01,8.242159008023341
2017-10-01,7.751091703056769
2017-11-01,9.371671991480298
2017-12-01,8.361581920903955
2018-01-01,8.529741863075197
2018-02-01,8.658922914466736
2018-03-01,8.655616942909761
2018-04-01,6.174089068825911
2018-05-01,7.234886025768088
2018-06-01,7.357512953367876
2018-07-01,6.215316315205328
2018-08-01,7.258687258687259
2018-09-01,6.172839506172839
2018-10-01,6.8476977567886665
2018-11-01,7.344632768361582
2018-12-01,6.23409669211196
2019-01-01,7.125307125307126
2019-02-01,8.152173913043478
2019-03-01,4.82051282051282
2019-04-01,8.63060989643268
2019-05-01,9.528907922912206
2019-06-01,7.244897959183673
2019-07-01,8.503767491926803
2019-08-01,9.003496503496503
2019-09-01,8.310749774164409
2019-10-01,9.383378016085791
2019-11-01,6.431273644388398
2019-12-01,9.97191011235955
2020-01-01,9.16767189384801
2020-02-01,9.578107183580387
2020-03-01,8.016032064128256
2020-04-01,7.563025210084033
2020-05-01,11.71875
2020-06-01,12.605042016806722
2020-07-01,10.526315789473683
2020-08-01,13.23529411764706
2020-09-01,9.621993127147768
2020-10-01,8.823529411764707
2020-11-01,12.698412698412698
2020-12-01,6.0
2021-01-01,14.285714285714285
2021-02-01,11.618257261410788
2021-03-01,12.751677852348994
2021-04-01,8.333333333333332
2021-05-01,12.401055408970976
2021-06-01,10.69609507640068
2021-07-01,10.90670170827858
2021-08-01,11.973392461197339
2021-09-01,8.662900188323917
2021-10-01,5.95482546201232
2021-11-01,8.062015503875969
2021-12-01,9.8256735340729
2022-01-01,9.782608695652174
2022-02-01,10.085470085470085
2022-03-01,8.596300326441785
2022-04-01,10.102489019033674
2022-05-01,8.312020460358056
2022-06-01,8.108108108108109
2022-07-01,8.933002481389577
2022-08-01,8.640776699029127
2022-09-01,7.462686567164178
2022-10-01,6.645056726094004
2022-11-01,6.892523364485981
2022-12-01,7.511045655375552
2023-01-01,7.238605898123325
2023-02-01,8.549222797927461
2023-03-01,7.563025210084033
2023-04-01,5.0228310502283104
2023-05-01,5.693581780538302
2023-06-01,5.974025974025974
2023-07-01,6.002034587995931
2023-08-01,7.7134986225895315
2023-09-01,7.474931631722881
2023-10-01,6.623586429725363
2023-11-01,8.251748251748252
2023-12-01,7.394957983193278
2024-01-01,7.849293563579278
2024-02-01,7.335907335907336
2024-03-01,6.498545101842872
2024-04-01,6.71806167400881
2024-05-01,8.06282722513089
2024-06-01,8.240534521158128
2024-07-01,7.8054298642533935
2024-08-01,8.395522388059701
2024-09-01,7.635009310986965
2024-10-01,8.506944444444445
2024-11-01,6.760204081632653
2024-12-01,9.33734939759036
2025-01-01,8.310991957104557
2025-02-01,8.050847457627118
2025-03-01,7.468477206595538
2025-04-01,6.285178236397748
2025-05-01,7.352941176470589
2025-06-01,0.0
